mode,config_id,seed,mean_tracking_error,max_tracking_error,final_tracking_error,mean_solve_time_ms,max_solve_time_ms,linear_jerk_rms,angular_jerk_rms,linear_jerk_peak,angular_jerk_peak,infeasible_count,collision_count,total_control_effort,blend_weight_mean,smooth_transitions,wall_time_s
lqr,0,42,0.03354892759777062,0.09964636377331001,0.0010595179247607116,0.0,0.0,36.19515638414633,1.3823025327769127,138.71450800247817,5.524034095437111,0,0,73.97267318566786,0.0,0,0.006529700011014938
mpc,0,42,0.01072432318653707,0.023626655783628447,0.023626655783628447,3.478181633946239,42.97559999395162,39.98724970482854,20.60119909633162,150.65982446422072,93.31365526577025,0,0,72.2780051699748,0.0,0,0.18612920001032762
hybrid,0,42,0.03275293866765111,0.09743905443337955,0.0009484553923036666,4.730749997543171,27.64079999178648,42.98715546840265,4.214130850256936,161.49752940060543,8.144434597075756,0,0,73.93543270944109,0.0463367594690031,0,0.06042610001168214
