mode,n_runs,mean_tracking_error_mean,mean_tracking_error_std,max_tracking_error_mean,max_tracking_error_std,final_tracking_error_mean,final_tracking_error_std,mean_solve_time_ms_mean,mean_solve_time_ms_std,max_solve_time_ms_mean,max_solve_time_ms_std,linear_jerk_rms_mean,linear_jerk_rms_std,angular_jerk_rms_mean,angular_jerk_rms_std,linear_jerk_peak_mean,linear_jerk_peak_std,angular_jerk_peak_mean,angular_jerk_peak_std,infeasible_count_mean,infeasible_count_std,collision_count_mean,collision_count_std,total_control_effort_mean,total_control_effort_std,wall_time_s_mean,wall_time_s_std
mpc,1,0.070283,0.000000,0.138847,0.000000,0.039517,0.000000,6.684776,0.000000,116.455000,0.000000,5262.793634,0.000000,1182.325089,0.000000,12913.320854,0.000000,2837.252711,0.000000,0.000000,0.000000,0.000000,0.000000,76.250126,0.000000,0.353950,0.000000
hard_switch,1,0.065840,0.000000,0.146391,0.000000,0.068748,0.000000,8.712157,0.000000,194.172000,0.000000,4426.081967,0.000000,1104.751555,0.000000,12513.702741,0.000000,2270.884030,0.000000,0.000000,0.000000,0.000000,0.000000,77.503532,0.000000,0.461091,0.000000
hybrid,1,0.074713,0.000000,0.195759,0.000000,0.042615,0.000000,21.601020,0.000000,181.347800,0.000000,1554.217907,0.000000,1928.709490,0.000000,3708.043065,0.000000,7063.547708,0.000000,0.000000,0.000000,0.000000,0.000000,79.414922,0.000000,0.247150,0.000000
