mode,config_id,seed,mean_tracking_error,max_tracking_error,final_tracking_error,mean_solve_time_ms,max_solve_time_ms,linear_jerk_rms,angular_jerk_rms,linear_jerk_peak,angular_jerk_peak,infeasible_count,collision_count,total_control_effort,blend_weight_mean,smooth_transitions,wall_time_s
mpc,0,42,0.07028319406862442,0.13884746221222355,0.039517389722171524,6.684775509674349,116.45499999576714,5262.793633795957,1182.325089150353,12913.320853606037,2837.2527105813306,0,0,76.25012604128759,0.0,0,0.353949600001215
hard_switch,0,42,0.0658398665629237,0.1463909947727761,0.06874775029326152,8.71215714349611,194.1720000031637,4426.081967440047,1104.75155498494,12513.702740903434,2270.8840302522044,0,0,77.50353227416484,0.0,0,0.4610908000031486
hybrid,0,42,0.0747129739959857,0.1957589209038765,0.04261530290753565,21.60101999907056,181.34780001128092,1554.2179069707277,1928.709489509303,3708.0430653891967,7063.547707942776,0,0,79.41492158797257,0.5545139379711841,1,0.24714980000862852
